OutreachAttempts,InitialContact,Title,SpendRatio,DealSize,LeadSource,ExistingCustomer,Region,CampaignMix,OppStatus
8,Yes,Manager,0.58,15300,Other,Yes,SE Asia,None,no
6,Yes,Other,0.26,6800,Internet,No,Australia,Digital|Trial,yes
8,No,Executive,0.54,8100,Walkin,No,Australia,None,no
7,Yes,Manager,0.26,9700,Walkin,No,Other,Digital|Trial,yes
2,Yes,Executive,0.53,13100,Walkin,Yes,SE Asia,Digital|Traditional|Trial,no
6,Yes,Executive,0.35,14300,Other,Yes,SE Asia,Digital|Trial,yes
2,No,Other,0.38,15600,Phone,No,SE Asia,Digital,no
5,Yes,Executive,0.37,9500,Walkin,Yes,Other,Digital,yes
2,No,Manager,0.17,9200,Internet,Yes,Americas,None,no
10,Yes,Manager,0.35,8100,Walkin,No,SE Asia,Trial,yes
5,No,Manager,0.53,12400,Internet,No,Americas,None,no
7,Yes,Executive,0.28,14500,Phone,Yes,Other,Trial,yes
5,No,Other,0.15,11300,Phone,No,Europe,None,no
10,Yes,Manager,0.23,8000,Other,Yes,Other,Digital|Trial,yes
3,No,Other,0.13,11500,Walkin,No,Australia,None,no
5,No,Manager,0.27,7200,Internet,No,Australia,Traditional|Trial,yes
6,No,Executive,0.32,15200,Other,No,Americas,None,no
7,No,Executive,0.4,7800,Other,No,Australia,Digital|Trial,yes
2,No,Manager,0.54,14900,Internet,No,Europe,None,no
7,No,Executive,0.44,12200,Walkin,Yes,Other,Traditional|Trial,yes
6,No,Other,0.29,11900,Walkin,No,Americas,None,no
10,Yes,Other,0.2,6300,Internet,Yes,Other,Digital|Trial,yes
4,No,Manager,0.37,7000,Internet,No,Europe,None,no
6,No,Manager,0.06,8600,Other,No,Australia,Traditional|Trial,yes
3,Yes,Manager,0.6,10800,Internet,No,Europe,None,no
10,No,Executive,0.43,8800,Phone,No,SE Asia,Digital|Trial,yes
6,Yes,Other,0.12,8600,Phone,Yes,Americas,None,no
9,Yes,Manager,0.41,12100,Walkin,No,SE Asia,Digital|Trial,yes
2,Yes,Executive,0.54,12100,Internet,Yes,SE Asia,None,no
5,Yes,Executive,0.43,5900,Other,Yes,Other,Traditional,yes
3,No,Executive,0.59,14100,Other,No,Americas,None,no
10,No,Executive,0.48,8100,Walkin,No,Other,Trial,yes
9,No,Other,0.16,7800,Internet,Yes,Americas,None,no
10,No,Executive,0.41,7700,Other,Yes,Other,Digital|Traditional|Trial,yes
5,No,Manager,0.19,15500,Walkin,No,Europe,None,no
6,Yes,Other,0.05,11900,Other,No,Australia,Digital,yes
6,No,Manager,0.46,14300,Internet,No,Europe,None,no
8,Yes,Other,0.13,7300,Phone,No,Australia,Digital|Traditional,yes
8,No,Other,0.62,11700,Internet,Yes,Europe,None,no
6,No,Other,0.45,14300,Other,Yes,Americas,Traditional|Trial,yes
9,Yes,Executive,0.41,13400,Phone,No,Americas,None,no
9,Yes,Executive,0.43,10800,Internet,Yes,Australia,Digital|Trial,yes
8,No,Executive,0.46,11800,Phone,Yes,Americas,None,no
6,Yes,Other,0.25,9500,Phone,Yes,Americas,Digital|Trial,yes
3,Yes,Executive,0.14,6900,Internet,No,Other,Digital|Traditional,no
7,No,Other,0.23,8500,Phone,Yes,SE Asia,None,yes
7,No,Executive,0.41,6300,Internet,Yes,Australia,Trial,no
5,Yes,Executive,0.41,12200,Walkin,Yes,Australia,Digital|Traditional|Trial,yes
6,Yes,Executive,0.58,8900,Internet,No,Other,None,no
10,Yes,Executive,0.27,10300,Phone,Yes,Australia,Digital|Traditional,yes
9,Yes,Other,0.36,8800,Other,No,Australia,None,no
10,Yes,Other,0.51,12500,Internet,Yes,Americas,Trial,yes
4,Yes,Manager,0.55,7300,Other,Yes,SE Asia,None,no
8,Yes,Manager,0.48,12900,Phone,No,Americas,Traditional|Trial,yes
4,No,Manager,0.6,13100,Phone,No,Europe,None,no
8,Yes,Executive,0.16,14200,Other,Yes,SE Asia,Digital|Traditional|Trial,yes
9,No,Manager,0.48,13400,Internet,Yes,Australia,Digital|Trial,no
5,Yes,Executive,0.06,5300,Internet,Yes,Americas,Digital|Trial,yes
8,Yes,Manager,0.53,14700,Internet,No,Australia,None,no
8,No,Executive,0.34,6200,Phone,No,Other,Digital|Trial,yes
9,No,Executive,0.24,15600,Walkin,No,Australia,None,no
5,Yes,Other,0.15,6200,Other,Yes,Europe,Digital|Traditional|Trial,yes
4,No,Other,0.38,8500,Other,No,SE Asia,Trial,no
6,Yes,Other,0.36,8000,Internet,No,Americas,Digital,yes
4,No,Other,0.6,14400,Other,No,Americas,None,no
9,Yes,Other,0.17,6900,Phone,No,Other,Traditional|Trial,yes
5,No,Executive,0.31,12800,Internet,No,Americas,None,no
10,No,Executive,0.5,5600,Walkin,Yes,Other,Traditional|Trial,yes
9,Yes,Other,0.34,10400,Internet,Yes,Europe,None,no
10,Yes,Manager,0.13,6100,Phone,Yes,Australia,Digital|Traditional,yes
5,Yes,Executive,0.27,10300,Internet,No,SE Asia,Digital|Trial,no
10,Yes,Manager,0.1,8900,Phone,No,Other,Digital|Traditional|Trial,yes
6,No,Other,0.3,6500,Phone,No,Australia,None,no
7,Yes,Executive,0.39,5200,Phone,No,Australia,Digital|Trial,yes
8,No,Other,0.32,9400,Phone,No,Americas,None,no
9,Yes,Executive,0.25,8900,Other,No,Americas,Traditional|Trial,yes
4,No,Other,0.18,12900,Phone,Yes,Europe,None,no
9,Yes,Executive,0.25,11600,Walkin,Yes,Americas,Traditional|Trial,yes
3,Yes,Manager,0.37,10600,Phone,No,SE Asia,None,no
7,Yes,Executive,0.5,9800,Walkin,No,Europe,Digital|Trial,yes
8,No,Manager,0.33,15400,Phone,Yes,Australia,None,no
10,Yes,Other,0.17,5300,Other,No,SE Asia,Traditional|Trial,yes
9,Yes,Other,0.62,10000,Internet,Yes,SE Asia,None,no
8,No,Manager,0.49,7500,Walkin,Yes,Australia,Traditional|Trial,yes
2,Yes,Executive,0.58,12000,Other,Yes,Other,None,no
6,Yes,Other,0.53,7800,Internet,Yes,Europe,Digital|Trial,yes
2,No,Other,0.42,9800,Phone,No,SE Asia,Traditional,no
9,No,Manager,0.19,11800,Walkin,No,Europe,Digital|Traditional,yes
7,No,Other,0.36,7700,Phone,No,Other,None,no
6,Yes,Manager,0.47,13400,Internet,Yes,SE Asia,Traditional|Trial,yes
9,Yes,Executive,0.27,12300,Walkin,Yes,Europe,None,no
4,Yes,Other,0.38,6200,Phone,Yes,Australia,Digital|Traditional|Trial,yes
5,Yes,Executive,0.52,9100,Internet,No,Americas,None,no
7,Yes,Other,0.27,13500,Phone,Yes,SE Asia,Digital|Trial,yes
3,Yes,Other,0.16,9600,Internet,No,Australia,None,no
5,No,Other,0.48,13500,Other,Yes,Australia,Digital,yes
6,No,Executive,0.59,10500,Internet,Yes,Other,None,no
8,Yes,Other,0.17,8600,Phone,Yes,Other,Digital|Traditional,yes
7,No,Executive,0.14,6500,Internet,Yes,Europe,None,no
8,Yes,Manager,0.54,9200,Phone,No,Other,Traditional|Trial,yes
3,No,Other,0.25,7500,Internet,Yes,Americas,None,no
8,No,Manager,0.15,9500,Phone,No,Europe,Digital|Traditional|Trial,yes
4,No,Other,0.58,11800,Other,No,Other,None,no
4,Yes,Other,0.11,12800,Phone,No,Americas,Digital|Traditional|Trial,yes
3,Yes,Manager,0.41,12100,Other,No,Other,None,no
8,Yes,Other,0.48,13100,Walkin,No,Americas,Traditional|Trial,yes
5,No,Other,0.51,13800,Other,Yes,Australia,None,no
5,Yes,Other,0.47,14600,Walkin,Yes,SE Asia,Digital|Traditional,yes
9,No,Executive,0.24,12700,Other,No,Other,Digital|Traditional,no
8,Yes,Executive,0.22,14800,Internet,No,Australia,Traditional|Trial,yes
9,No,Manager,0.44,15500,Phone,No,Europe,None,no
5,No,Other,0.39,11200,Walkin,No,Australia,Trial,yes
3,No,Executive,0.33,9800,Internet,Yes,Other,None,no
4,Yes,Executive,0.3,12500,Phone,No,Australia,Digital|Traditional|Trial,yes
5,Yes,Executive,0.56,8700,Internet,Yes,SE Asia,None,no
7,No,Other,0.4,10500,Phone,No,SE Asia,Digital|Trial,yes
8,No,Manager,0.19,12500,Internet,Yes,Americas,None,no
5,Yes,Manager,0.16,10300,Internet,Yes,Europe,Traditional|Trial,yes
3,Yes,Other,0.27,6200,Phone,No,Europe,None,no
6,No,Executive,0.3,11100,Phone,No,SE Asia,Traditional|Trial,yes
6,Yes,Manager,0.37,14200,Phone,Yes,Europe,None,no
10,Yes,Manager,0.12,8100,Phone,Yes,SE Asia,Digital|Traditional,yes
6,Yes,Other,0.41,14500,Other,No,Australia,None,no
4,Yes,Executive,0.54,13400,Phone,No,SE Asia,Trial,yes
8,No,Executive,0.46,8400,Internet,No,Americas,None,no
9,Yes,Other,0.1,5300,Phone,No,Europe,Trial,yes
5,Yes,Other,0.6,13700,Internet,Yes,Australia,None,no
5,Yes,Executive,0.45,5300,Walkin,Yes,Australia,Digital,yes
6,No,Manager,0.54,15500,Internet,No,Europe,None,no
10,No,Other,0.49,10400,Phone,Yes,Other,Trial,yes
8,Yes,Executive,0.12,7400,Other,Yes,SE Asia,None,no
10,Yes,Executive,0.41,10700,Phone,No,Americas,Digital|Trial,yes
7,Yes,Other,0.61,12800,Internet,Yes,Other,None,no
5,No,Executive,0.48,13500,Phone,Yes,Americas,None,yes
3,No,Executive,0.5,11300,Other,No,Australia,None,no
10,Yes,Manager,0.17,10200,Walkin,Yes,SE Asia,Digital,yes
9,Yes,Manager,0.39,6800,Internet,No,Europe,None,no
5,Yes,Manager,0.18,14400,Other,Yes,Europe,Digital|Trial,yes
2,Yes,Manager,0.45,13900,Walkin,Yes,SE Asia,None,no
9,No,Manager,0.15,6000,Walkin,Yes,Americas,Traditional,yes
6,No,Other,0.2,7500,Other,No,Europe,None,no
6,No,Executive,0.39,5700,Phone,No,SE Asia,Digital|Traditional|Trial,yes
9,Yes,Executive,0.35,9100,Phone,No,Americas,None,no
7,No,Manager,0.54,7700,Other,No,Australia,Traditional|Trial,yes
4,No,Manager,0.45,10500,Walkin,Yes,Europe,None,no
7,Yes,Manager,0.35,14300,Phone,No,Americas,Digital|Trial,yes
4,No,Other,0.43,11900,Internet,No,Americas,None,no
10,Yes,Manager,0.05,13200,Walkin,Yes,Australia,None,yes
8,Yes,Other,0.45,11900,Other,No,SE Asia,Digital|Trial,no
4,No,Manager,0.25,9100,Internet,Yes,Other,Traditional|Trial,yes
4,No,Manager,0.22,15500,Walkin,No,Americas,None,no
4,Yes,Executive,0.07,6800,Phone,Yes,SE Asia,Traditional|Trial,yes
6,No,Executive,0.33,10700,Internet,No,Australia,None,no
7,No,Manager,0.38,11900,Internet,No,Australia,Digital|Trial,yes
9,No,Manager,0.53,7900,Internet,No,Americas,None,no
7,Yes,Executive,0.08,11500,Phone,No,Americas,Trial,yes
5,No,Executive,0.5,16000,Other,Yes,Other,None,no
6,No,Executive,0.53,6200,Internet,Yes,Australia,Traditional|Trial,yes
7,No,Manager,0.15,13300,Phone,Yes,Americas,None,no
9,Yes,Manager,0.11,8200,Walkin,No,Australia,Digital,yes
5,No,Manager,0.17,7300,Internet,No,Europe,None,no
9,Yes,Executive,0.37,13500,Walkin,Yes,Europe,Trial,yes
9,Yes,Other,0.16,8500,Walkin,No,SE Asia,None,no
10,No,Executive,0.5,8700,Phone,Yes,SE Asia,Digital|Trial,yes
4,Yes,Executive,0.38,9000,Walkin,Yes,Americas,Trial,no
4,Yes,Manager,0.11,12100,Phone,Yes,Australia,Trial,yes
9,No,Other,0.17,9400,Phone,No,SE Asia,None,no
6,Yes,Other,0.11,14300,Phone,No,Americas,Traditional|Trial,yes
8,No,Manager,0.33,10500,Other,Yes,Americas,None,no
4,Yes,Other,0.43,12800,Phone,Yes,Australia,Digital|Trial,yes
8,No,Other,0.24,7000,Internet,No,Australia,None,no
8,Yes,Manager,0.45,11000,Phone,Yes,Americas,Digital|Trial,yes
5,Yes,Executive,0.35,12900,Internet,No,Other,None,no
5,No,Manager,0.33,15000,Phone,No,Other,Digital|Trial,yes
2,No,Manager,0.44,7900,Internet,Yes,SE Asia,None,no
6,No,Other,0.08,11500,Internet,Yes,Europe,Digital|Trial,yes
5,No,Manager,0.27,9300,Phone,No,SE Asia,None,no
9,Yes,Executive,0.51,7100,Phone,No,Other,Digital|Traditional|Trial,yes
7,No,Manager,0.23,11000,Walkin,No,SE Asia,None,no
6,No,Executive,0.44,5900,Internet,No,Other,Digital|Trial,yes
3,No,Manager,0.58,12300,Phone,No,Europe,None,no
9,Yes,Other,0.05,9700,Internet,Yes,Australia,Traditional,yes
8,No,Executive,0.18,7500,Internet,Yes,Americas,None,no
10,Yes,Other,0.4,11500,Internet,No,Australia,None,yes
5,No,Executive,0.5,12400,Internet,No,Americas,None,no
7,Yes,Other,0.09,7500,Walkin,No,Europe,Digital|Traditional|Trial,yes
3,Yes,Manager,0.47,13200,Internet,No,Australia,None,no
8,Yes,Executive,0.23,14000,Internet,Yes,Europe,Trial,yes
7,No,Other,0.55,13600,Phone,No,SE Asia,None,no
5,No,Other,0.16,5000,Phone,Yes,SE Asia,Traditional,yes
3,Yes,Executive,0.32,7000,Phone,Yes,Other,None,no
10,Yes,Other,0.36,14000,Other,No,SE Asia,Traditional|Trial,yes
4,Yes,Executive,0.43,15600,Internet,No,Australia,None,no
4,Yes,Executive,0.07,10400,Walkin,Yes,SE Asia,Digital|Trial,yes
8,No,Executive,0.36,6200,Phone,No,Europe,Digital|Traditional|Trial,no
10,Yes,Manager,0.25,10500,Phone,No,Europe,Trial,yes
9,No,Manager,0.21,13400,Phone,Yes,Australia,Trial,no
9,Yes,Manager,0.14,5700,Walkin,Yes,Other,Trial,yes
5,No,Manager,0.33,12700,Walkin,No,SE Asia,None,no
4,Yes,Other,0.21,6400,Internet,Yes,Australia,Digital|Trial,yes
6,No,Other,0.57,12500,Walkin,Yes,Europe,None,no
7,Yes,Manager,0.13,12900,Walkin,Yes,Australia,Traditional,yes
2,No,Executive,0.62,14400,Internet,No,SE Asia,None,no
10,No,Executive,0.55,7000,Walkin,Yes,Australia,Traditional|Trial,yes
8,No,Other,0.38,13800,Internet,No,Other,None,no
7,Yes,Other,0.08,11400,Phone,Yes,Americas,Traditional|Trial,yes
6,No,Manager,0.61,11700,Walkin,No,Americas,None,no
6,No,Manager,0.05,11900,Walkin,Yes,Europe,Trial,yes
6,No,Manager,0.5,15400,Internet,Yes,Europe,None,no
9,Yes,Executive,0.47,9100,Internet,No,Europe,Digital,yes
2,Yes,Manager,0.43,9100,Phone,Yes,Europe,None,no
4,No,Executive,0.31,12400,Walkin,No,Europe,Digital|Trial,yes
9,Yes,Manager,0.5,15100,Walkin,No,Europe,None,no
5,No,Other,0.55,5100,Other,No,Australia,Trial,yes
9,No,Manager,0.28,9400,Internet,No,Australia,None,no
6,No,Other,0.09,6700,Internet,No,SE Asia,Digital|Trial,yes
2,Yes,Executive,0.34,15200,Phone,Yes,Australia,Traditional,no
4,Yes,Other,0.52,9600,Phone,Yes,Australia,Trial,yes
6,Yes,Manager,0.37,6800,Internet,Yes,Australia,None,no
8,No,Executive,0.2,9800,Internet,No,Australia,Traditional|Trial,yes
9,Yes,Executive,0.45,6000,Walkin,No,Europe,None,no
7,Yes,Other,0.13,7600,Phone,Yes,Australia,Trial,yes
7,No,Executive,0.46,10700,Phone,Yes,Americas,None,no
7,No,Executive,0.47,11300,Phone,Yes,Europe,Digital|Trial,yes
5,No,Manager,0.51,13200,Phone,No,Australia,None,no
6,Yes,Manager,0.39,10000,Phone,Yes,Americas,Digital|Traditional|Trial,yes
8,Yes,Executive,0.61,12700,Internet,No,Australia,Digital|Trial,no
4,Yes,Executive,0.28,13100,Other,Yes,Europe,Digital|Traditional|Trial,yes
2,Yes,Manager,0.32,11800,Internet,Yes,Europe,Traditional|Trial,no
10,Yes,Executive,0.06,8200,Internet,No,Europe,Traditional|Trial,yes
8,No,Other,0.49,15800,Internet,No,Americas,None,no
5,Yes,Executive,0.12,14600,Internet,No,Europe,Trial,yes
3,No,Other,0.59,10900,Internet,No,Australia,None,no
9,No,Other,0.2,11500,Phone,Yes,Americas,Traditional|Trial,yes
8,No,Manager,0.21,7300,Internet,No,Australia,None,no
7,Yes,Manager,0.26,7000,Phone,No,Australia,Digital|Trial,yes
4,No,Other,0.17,7500,Other,No,Europe,None,no
5,Yes,Other,0.12,9400,Internet,Yes,Americas,Digital|Trial,yes
3,Yes,Other,0.37,6700,Internet,No,Europe,None,no
9,Yes,Manager,0.38,10400,Phone,Yes,SE Asia,Digital|Traditional|Trial,yes
4,No,Executive,0.44,13900,Internet,Yes,Other,None,no
6,Yes,Executive,0.16,5700,Phone,Yes,Americas,Traditional|Trial,yes
7,No,Executive,0.57,9700,Walkin,Yes,Europe,None,no
5,No,Executive,0.33,13600,Other,Yes,Other,Digital|Traditional|Trial,yes
6,No,Manager,0.62,14700,Other,Yes,Australia,None,no
7,Yes,Executive,0.4,12200,Internet,Yes,Americas,Digital|Trial,yes
2,No,Executive,0.48,8700,Internet,No,Australia,Traditional,no
9,No,Executive,0.2,7400,Other,No,SE Asia,Traditional|Trial,yes
9,No,Other,0.61,8500,Internet,No,Australia,None,no
10,Yes,Executive,0.22,8000,Phone,Yes,Americas,Traditional|Trial,yes
9,Yes,Other,0.54,14900,Internet,Yes,Europe,None,no
4,Yes,Other,0.34,8900,Other,Yes,Other,Trial,yes
7,No,Manager,0.47,6000,Internet,No,Australia,None,no
7,No,Manager,0.17,5700,Other,Yes,Australia,Digital,yes
3,Yes,Other,0.15,8300,Internet,No,Americas,None,no
10,Yes,Manager,0.32,15000,Walkin,Yes,Europe,Traditional|Trial,yes
4,Yes,Executive,0.13,7900,Phone,No,SE Asia,None,no
5,No,Executive,0.12,8000,Phone,No,Europe,Digital|Trial,yes
7,Yes,Manager,0.15,6600,Internet,Yes,SE Asia,None,no
10,Yes,Manager,0.46,8800,Phone,Yes,SE Asia,Digital,yes
9,No,Manager,0.39,11100,Phone,No,SE Asia,None,no
8,Yes,Other,0.07,10800,Phone,No,Europe,Traditional|Trial,yes
6,No,Other,0.29,10800,Other,No,Europe,None,no
10,Yes,Manager,0.35,11500,Walkin,Yes,Americas,Digital|Trial,yes
3,No,Manager,0.38,15000,Other,No,SE Asia,None,no
6,Yes,Other,0.38,14600,Internet,No,SE Asia,Digital|Trial,yes
3,No,Other,0.3,15400,Phone,No,Other,None,no
8,Yes,Other,0.13,8000,Walkin,Yes,Australia,Trial,yes
4,No,Manager,0.37,10000,Other,Yes,Australia,Traditional|Trial,no
7,Yes,Manager,0.23,9500,Phone,Yes,Australia,Digital,yes
8,Yes,Executive,0.45,10000,Walkin,No,Americas,None,no
5,Yes,Executive,0.1,6900,Other,No,Australia,Traditional,yes
9,No,Executive,0.46,8900,Internet,Yes,Australia,None,no
7,No,Executive,0.39,10200,Other,No,Australia,Digital|Trial,yes
9,No,Manager,0.47,10700,Internet,No,Europe,Trial,no
5,Yes,Manager,0.27,13400,Phone,No,Other,Digital|Traditional|Trial,yes
8,No,Other,0.38,8200,Phone,Yes,Americas,Trial,no
4,Yes,Executive,0.06,8200,Internet,Yes,Australia,Digital|Traditional,yes
9,No,Manager,0.14,8600,Walkin,Yes,Other,None,no
9,Yes,Other,0.54,8700,Phone,No,Europe,Traditional|Trial,yes
5,No,Executive,0.49,12400,Internet,Yes,Europe,None,no
6,No,Executive,0.39,14900,Phone,No,Americas,Digital|Trial,yes
2,No,Manager,0.44,11300,Phone,No,Europe,None,no
9,Yes,Executive,0.05,11000,Phone,No,Other,Digital|Traditional,yes
5,Yes,Other,0.6,13800,Phone,No,Europe,None,no
6,Yes,Executive,0.08,6600,Walkin,No,Europe,Trial,yes
8,Yes,Other,0.44,8900,Internet,No,SE Asia,None,no
4,No,Other,0.1,13500,Walkin,Yes,Europe,Trial,yes
4,Yes,Other,0.37,14400,Phone,No,SE Asia,Traditional,no
4,No,Manager,0.37,8000,Other,Yes,Australia,Traditional|Trial,yes
8,No,Manager,0.23,6700,Internet,No,Other,Digital|Traditional,no
4,Yes,Other,0.31,14300,Walkin,Yes,Americas,Digital|Trial,yes
3,Yes,Manager,0.36,14600,Other,Yes,Other,None,no
9,Yes,Executive,0.15,7000,Phone,No,SE Asia,Digital,yes
6,No,Executive,0.14,10800,Walkin,No,Americas,None,no
6,Yes,Manager,0.2,7800,Other,Yes,Australia,Digital|Trial,yes
9,No,Other,0.49,11300,Phone,No,Europe,Trial,no
7,Yes,Other,0.46,7300,Internet,Yes,Americas,Traditional|Trial,yes
2,Yes,Executive,0.44,15600,Phone,No,Americas,None,no
4,Yes,Executive,0.18,7100,Internet,Yes,Other,Traditional,yes
4,No,Other,0.27,9400,Internet,No,Americas,None,no
10,Yes,Manager,0.21,14000,Other,Yes,Americas,Traditional|Trial,yes
5,No,Manager,0.58,7300,Internet,No,Americas,None,no
6,No,Other,0.39,14900,Internet,No,Americas,Trial,yes
5,Yes,Manager,0.46,9400,Internet,No,Americas,None,no
8,Yes,Manager,0.39,6800,Walkin,Yes,Europe,Traditional|Trial,yes
8,No,Other,0.17,9300,Phone,No,Australia,None,no
5,Yes,Executive,0.36,11300,Phone,Yes,Europe,Traditional,yes
4,No,Executive,0.2,7400,Internet,No,Americas,None,no
6,No,Executive,0.54,9900,Phone,No,Europe,Traditional|Trial,yes
8,No,Executive,0.15,7800,Internet,No,SE Asia,None,no
4,Yes,Manager,0.19,9000,Other,No,Australia,Digital|Traditional,yes
6,No,Other,0.58,14100,Internet,No,Australia,None,no
7,Yes,Other,0.13,8500,Phone,Yes,Other,Trial,yes
4,No,Executive,0.32,13200,Other,No,Europe,None,no
9,No,Other,0.09,10900,Phone,Yes,Americas,Digital|Trial,yes
3,Yes,Manager,0.2,15800,Other,Yes,Americas,None,no
7,No,Other,0.37,7600,Walkin,No,Europe,Trial,yes
3,No,Executive,0.28,14200,Walkin,No,Australia,None,no
10,Yes,Manager,0.13,7100,Other,No,Other,Traditional|Trial,yes
4,No,Other,0.21,6000,Walkin,Yes,Australia,None,no
8,Yes,Manager,0.27,13700,Walkin,No,Australia,Traditional|Trial,yes
9,Yes,Other,0.26,10000,Phone,Yes,Australia,None,no
5,No,Executive,0.12,5900,Phone,Yes,Australia,Digital|Trial,yes
2,Yes,Manager,0.46,10600,Internet,Yes,Australia,Digital|Traditional|Trial,no
5,Yes,Manager,0.55,8200,Internet,Yes,Americas,Digital|Trial,yes
3,Yes,Manager,0.49,13200,Internet,No,Americas,None,no
10,No,Manager,0.51,10000,Phone,No,SE Asia,Trial,yes
7,Yes,Executive,0.26,7200,Phone,No,SE Asia,None,no
6,No,Other,0.43,13200,Phone,Yes,Europe,Trial,yes
7,Yes,Manager,0.21,10400,Other,No,Other,None,no
4,Yes,Executive,0.15,8900,Walkin,Yes,Americas,Traditional,yes
7,No,Executive,0.57,15900,Other,No,SE Asia,None,no
8,Yes,Other,0.47,14200,Phone,Yes,Other,Trial,yes
8,Yes,Other,0.46,11000,Internet,No,Australia,None,no
9,Yes,Other,0.44,6400,Walkin,No,Americas,Traditional|Trial,yes
6,No,Manager,0.35,15500,Internet,No,SE Asia,None,no
9,No,Other,0.53,6700,Walkin,Yes,SE Asia,Trial,yes
7,Yes,Manager,0.49,6700,Internet,Yes,Australia,None,no
5,No,Other,0.45,9900,Other,Yes,Americas,Digital,yes
9,No,Manager,0.51,11100,Internet,No,Australia,None,no
4,Yes,Executive,0.21,13000,Internet,Yes,Europe,Digital|Traditional,yes
2,No,Executive,0.22,11200,Internet,Yes,Other,None,no
10,No,Manager,0.27,13200,Internet,Yes,Australia,Traditional|Trial,yes
4,No,Executive,0.37,15500,Internet,Yes,Europe,None,no
9,No,Executive,0.28,14800,Walkin,Yes,Europe,Digital|Trial,yes
2,Yes,Other,0.37,12300,Internet,No,Australia,None,no
5,No,Executive,0.06,14700,Phone,No,Europe,Trial,yes
6,No,Executive,0.2,9900,Phone,Yes,Australia,Digital,no
8,No,Manager,0.08,5300,Walkin,No,Other,Digital|Trial,yes
2,No,Manager,0.58,15700,Internet,Yes,Europe,Digital|Traditional|Trial,no
7,Yes,Manager,0.42,6600,Phone,Yes,Other,Trial,yes
8,Yes,Executive,0.56,12400,Internet,No,Europe,Traditional|Trial,no
6,Yes,Manager,0.09,14100,Internet,No,Australia,Traditional|Trial,yes
9,Yes,Executive,0.29,10800,Walkin,Yes,Other,None,no
6,Yes,Other,0.28,11400,Walkin,Yes,Other,Traditional|Trial,yes
9,No,Executive,0.13,13900,Internet,No,Europe,None,no
6,Yes,Other,0.14,14300,Phone,Yes,Americas,Traditional|Trial,yes
3,No,Manager,0.13,8300,Internet,Yes,Americas,Digital,no
9,Yes,Executive,0.15,9800,Phone,Yes,Europe,Digital|Traditional|Trial,yes
8,Yes,Manager,0.5,11700,Internet,No,Australia,None,no
5,Yes,Manager,0.29,5400,Internet,Yes,Europe,Trial,yes
6,No,Manager,0.51,6200,Other,No,Europe,None,no
4,No,Executive,0.42,8700,Walkin,No,Australia,Digital|Traditional|Trial,yes
4,Yes,Manager,0.21,10900,Walkin,No,SE Asia,None,no
10,Yes,Manager,0.55,9100,Other,Yes,Australia,Digital|Traditional|Trial,yes
8,No,Manager,0.32,8600,Internet,No,Australia,None,no
5,No,Executive,0.38,10100,Other,Yes,Americas,Digital|Traditional|Trial,yes
5,No,Manager,0.6,11700,Internet,No,Australia,Digital|Trial,no
7,No,Executive,0.1,13200,Phone,No,Australia,Digital|Trial,yes
2,No,Other,0.5,12000,Other,Yes,Europe,None,no
6,Yes,Other,0.2,13000,Internet,Yes,Europe,Trial,yes
4,Yes,Manager,0.62,13600,Walkin,Yes,Americas,None,no
